number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1
16219693,1101530521,965839764907288866,0,5101253651571,2302457180693885351454651093163492,205553,31203981017892687890,1,3641327888985773,205370,205730,1119364018,955642358857797169
16222093,221222794,1714561502336011023,3157379,3074332925001493,2318747899162385489001287554456344,205694,17540821031132433136,1,3641327888985773,205370,205730,1119364018,955642358857797169
16224493,2255682974,0,6361393,4918160861910917,2280425969616657314568929983238151,205361,30523448134936311091,1,3641327888985773,205370,205730,1119364018,955642358857797169
16226893,2255682974,0,6398530,4948961848838257,2266012770497242894086255374140612,205234,20905059435363221456,1,3641327888985773,205370,205730,1119364018,955642358857797169
16229293,2255682974,0,6398530,4948961848838257,2270435262486917424056195007509857,205273,22227312718227892744,1,3641327888985773,205370,205730,1119364018,955642358857797169
16231693,2255682974,0,6430721,4975664621402494,2275703596294866001551435142483199,205319,22737464002634911280,1,3641327888985773,205370,205730,1119364018,955642358857797169
16234093,2255682974,0,6458966,4999096478299361,2272920569657780836424575412085603,205295,46555465465107464655,1,3641327888985773,205370,205730,1119364018,955642358857797169
16236493,2255682974,0,6458966,4999096478299361,2275732877226366029629403759490668,205319,29001499457139979699,1,3641327888985773,205370,205730,1119364018,955642358857797169
16238893,2255682974,0,6458966,4999096478299361,2274740167921692629443616837354464,205311,31485966568595190915,1,3641327888985773,205370,205730,1119364018,955642358857797169
16241293,1200950609,881941372400008622,7468464,6288312974408782,2300631716006577619818717260285935,205537,22618611010766339865,1,3641327888985773,205370,205730,1119364018,955642358857797169
16243693,2255682974,0,8881470,7033992161323160,2270824349001401756389526076262986,205276,22381477162560579800,1,3641327888985773,205370,205730,1119364018,955642358857797169
16246093,2255682974,0,8881470,7033992161323160,2266216588496224172254804411624938,205236,22728336445874518659,1,3641327888985773,205370,205730,1119364018,955642358857797169
16248493,2255682974,0,8881470,7033992161323160,2269782469176920445513960727061014,205267,24520173141659983885,1,3641327888985773,205370,205730,1119364018,955642358857797169
16250893,2255682974,0,8881470,7033992161323160,2268318100384631286503934121351000,205254,24021694853194625550,1,3641327888985773,205370,205730,1119364018,955642358857797169
16253293,2255682974,0,8881470,7033992161323160,2268286731158999893110011846751513,205254,25077936307355277000,1,3641327888985773,205370,205730,1119364018,955642358857797169
16255693,2255682974,0,8881470,7033992161323160,2269869087596540109532934287558589,205268,29040769306209328916,1,3641327888985773,205370,205730,1119364018,955642358857797169
16258093,2255682974,0,8881470,7033992161323160,2267587315813470219639532896775164,205248,52934674799180299526,1,3641327888985773,205370,205730,1119364018,955642358857797169
16260493,2255682974,0,8881470,7033992161323160,2268526464772877677599875107247126,205256,33919981157358144666,1,3641327888985773,205370,205730,1119364018,955642358857797169
16262893,2255682974,0,9303863,7385230723604989,2276380951899290357379858535471998,205325,49644562439988786256,1,3641327888985773,205370,205730,1119364018,955642358857797169
16265293,2255682974,0,9651248,7673766034534362,2270884431433260243759806907927190,205277,26634674985542752592,1,3641327888985773,205370,205730,1119364018,955642358857797169
16267693,2255682974,0,9651248,7673766034534362,2269257000224747449767003218337749,205262,40454737982949317533,1,3641327888985773,205370,205730,1119364018,955642358857797169
