number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1
16219693,352377751,333180523635596387,0,5075828994937,2302457180693885351454651093163492,205553,31203981017892687890,1,3623179504766042,205490,205610,370059748,323033941474716914
16222093,0,631623701632844639,309577,416879322769163,2318747899162385489001287554456344,205694,17540821031132433136,1,3623179504766042,205490,205610,370059748,323033941474716914
16224493,748137905,0,1539342,1137266736986487,2280425969616657314568929983238151,205361,30523448134936311091,1,3623179504766042,205490,205610,370059748,323033941474716914
16226893,748137905,0,1539342,1137266736986487,2266012770497242894086255374140612,205234,20905059435363221456,1,3623179504766042,205490,205610,370059748,323033941474716914
16229293,748137905,0,1539342,1137266736986487,2270435262486917424056195007509857,205273,22227312718227892744,1,3623179504766042,205490,205610,370059748,323033941474716914
16231693,748137905,0,1539342,1137266736986487,2275703596294866001551435142483199,205319,22737464002634911280,1,3623179504766042,205490,205610,370059748,323033941474716914
16234093,748137905,0,1539342,1137266736986487,2272920569657780836424575412085603,205295,46555465465107464655,1,3623179504766042,205490,205610,370059748,323033941474716914
16236493,748137905,0,1539342,1137266736986487,2275732877226366029629403759490668,205319,29001499457139979699,1,3623179504766042,205490,205610,370059748,323033941474716914
16238893,748137905,0,1539342,1137266736986487,2274740167921692629443616837354464,205311,31485966568595190915,1,3623179504766042,205490,205610,370059748,323033941474716914
16241293,451302329,249700280855300498,2192730,1812827704123000,2300631716006577619818717260285935,205537,22618611010766339865,1,3623179504766042,205490,205610,370059748,323033941474716914
16243693,748137905,0,3132888,2480047922483273,2270824349001401756389526076262986,205276,22381477162560579800,1,3623179504766042,205490,205610,370059748,323033941474716914
16246093,748137905,0,3132888,2480047922483273,2266216588496224172254804411624938,205236,22728336445874518659,1,3623179504766042,205490,205610,370059748,323033941474716914
16248493,748137905,0,3132888,2480047922483273,2269782469176920445513960727061014,205267,24520173141659983885,1,3623179504766042,205490,205610,370059748,323033941474716914
16250893,748137905,0,3132888,2480047922483273,2268318100384631286503934121351000,205254,24021694853194625550,1,3623179504766042,205490,205610,370059748,323033941474716914
16253293,748137905,0,3132888,2480047922483273,2268286731158999893110011846751513,205254,25077936307355277000,1,3623179504766042,205490,205610,370059748,323033941474716914
16255693,748137905,0,3132888,2480047922483273,2269869087596540109532934287558589,205268,29040769306209328916,1,3623179504766042,205490,205610,370059748,323033941474716914
16258093,748137905,0,3132888,2480047922483273,2267587315813470219639532896775164,205248,52934674799180299526,1,3623179504766042,205490,205610,370059748,323033941474716914
16260493,748137905,0,3132888,2480047922483273,2268526464772877677599875107247126,205256,33919981157358144666,1,3623179504766042,205490,205610,370059748,323033941474716914
16262893,748137905,0,3132888,2480047922483273,2276380951899290357379858535471998,205325,49644562439988786256,1,3623179504766042,205490,205610,370059748,323033941474716914
16265293,748137905,0,3132888,2480047922483273,2270884431433260243759806907927190,205277,26634674985542752592,1,3623179504766042,205490,205610,370059748,323033941474716914
16267693,748137905,0,3132888,2480047922483273,2269257000224747449767003218337749,205262,40454737982949317533,1,3623179504766042,205490,205610,370059748,323033941474716914
